bug_id,title,description,product_module,environment,operating_system,browser,severity,priority,status,leak_type,baseline_memory_mb,peak_memory_mb,memory_growth_rate_mb_per_hr,crash_occurred,reproducible,users_affected,concurrent_users,root_cause_category,created_at,resolved_at
d2cb0208-d7cd-4bcf-a761-dddd9dc0681c,Memory leak detected in MobileApp-Android during stress test,Application memory usage increases steadily over time under load testing conditions.,Data-Pipeline,Development,Android 13,N/A,Low,P1,Open,Heap Leak,240,6574,40.51,True,True,120,518,Thread pool mismanagement,2023-11-24,
680b7d63-1893-4601-8df2-ccca96b6ae43,Memory leak detected in MobileApp-Android during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Production,Ubuntu 20.04,Chrome 121,Medium,P1,Resolved,File Handle Leak,459,5823,84.02,True,True,491,782,Unclosed file streams,2023-01-14,2023-02-06
d4ef7aaf-58b2-4794-b56f-60bb5a4b1e96,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Development,Android 13,Safari 17,Low,P1,Open,Thread Leak,283,1292,127.89,False,False,296,197,Circular dependency in service layer,2023-02-22,
96961a7a-75ee-474d-bbe3-9891ad2b0063,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-Android,Development,Ubuntu 22.04,Edge 120,Critical,P2,In Progress,File Handle Leak,495,2366,46.96,False,True,344,274,Circular dependency in service layer,2023-02-05,
34825494-643e-4e50-97b0-1a3e45944c39,Memory leak detected in MobileApp-Android during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-Android,Staging,Ubuntu 22.04,Edge 120,Medium,P2,Open,GPU Memory Leak,187,5701,82.45,True,False,206,275,Unreleased object references,2023-12-16,2024-01-05
60f6a995-3c0f-46f4-b19a-9b01c2d23e87,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,API-Gateway,Staging,Android 13,Safari 17,Medium,P2,In Progress,GPU Memory Leak,467,7679,50.63,False,False,460,598,Unbounded caching mechanism,2023-04-19,2023-05-08
9d28817a-25c5-4d5c-9c68-663236c7643c,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,WebApp-Core,Development,Android 13,Firefox 122,Critical,P4,Closed,Cache Leak,352,4674,18.18,False,False,498,567,Unreleased object references,2023-07-05,2023-07-10
208fe9a5-c41b-4ce9-a60f-dfff471cb87c,Memory leak detected in Data-Pipeline during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Development,Ubuntu 20.04,Safari 17,Medium,P1,Open,File Handle Leak,374,7748,113.88,True,True,446,641,Unclosed file streams,2023-12-15,2024-01-06
dd3d491c-8925-4e13-a7f8-6182e13b6b80,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,ML-Service,Development,macOS Ventura,Edge 120,Critical,P4,Open,File Handle Leak,291,1752,115.56,False,True,30,247,Thread pool mismanagement,2023-11-24,2023-12-01
7856a1eb-b7a2-4db2-8ff1-5e7d03e43e8a,Memory leak detected in ML-Service during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-Android,Development,Android 13,Safari 17,Medium,P2,Closed,GPU Memory Leak,135,4481,146.81,True,False,205,688,Circular dependency in service layer,2023-02-10,
f29b700a-b1bd-44bd-b8be-91300a6071cd,Memory leak detected in WebApp-Core during stress test,Application memory usage increases steadily over time under load testing conditions.,MobileApp-iOS,Development,macOS Ventura,N/A,Medium,P3,Open,Heap Leak,161,4198,40.95,True,True,35,928,Unreleased object references,2023-07-11,2023-07-28
107e41d1-605e-4266-b00e-aa27890c6750,Memory leak detected in MobileApp-Android during stress test,Application memory usage increases steadily over time under load testing conditions.,ML-Service,Development,Android 13,N/A,Critical,P3,Closed,Cache Leak,242,2449,102.0,True,True,50,675,Unbounded caching mechanism,2023-06-19,
